Bezeichnung;AK;Inbetr.nahme;ND
Wasserrechte;10000;2002,5;20,00
Software;14080;2013,0;5,00
Software KORE;1240;2015,0;5,00
Lagerhalle A;530000;2002,5;33,33
Lagerhalle B;250800;2003,5;33,33
Produktionshalle;720000;2002,0;33,33
Produktionsanlage;1530000;2013,5;10,00
Abf�llanlage Erweiterung;82500;2012,0;10,00
BGA B�ro, Marketing, Produktion;40000;2002,0;5,00
BGA Erweiterung Marketing, Produktion;25000;2003,0;5,00
BGA Ersatz + Erweiterung Wellness;22600;2009,0;5,00
BGA Ersatz B�ro;4580;2010,5;5,00
BGA Kaffeevollautomat;629;2016,0;5,00
EDV-Anlagen B�ro + Wellness;5829;2015,5;4,00
EDV-Anlagen Vertrieb;3540;2014,0;3,00
EDV-Anlagen Ersatz;1430;2016,5;3,00
EDV-Anlagen B�ro;4640;2012,0;3,00
EDV-Anlagen B�ro/Verkauf;5170;2013,0;4,00
Gabelstapler A;25000;2002,0;8,00
Gabelstapler B;22800;2003,5;8,00
Gabelstapler C;26610;2014,5;8,00
Kastenwagen Iveco;30930;2013,5;5,00
Transporter Iveco Daily;29800;2008,5;5,00
Kastenwagen Mercedes Vario;41850;2012,0;5,00
